# Temp(K)	Pressure(MPa)	Experimental(mW/m*K)	NIST(mW/m*K)	Model(mW/m*K)
1.980999999999999943e+02	4.568999999999999950e+00	3.650000000000000000e+01	3.654439999999999600e+01	6.603901496689692863e+01
1.981380000000000052e+02	4.860999999999999766e+00	4.050000000000000000e+01	4.094960000000000377e+01	6.636131436614751067e+01
1.976970000000000027e+02	5.049000000000000377e+00	4.510000000000000142e+01	4.631520000000000437e+01	6.662546525247500995e+01
1.976260000000000048e+02	5.173000000000000043e+00	4.929999999999999716e+01	5.068700000000000472e+01	6.677293591905684877e+01
1.976370000000000005e+02	5.230000000000000426e+00	5.150000000000000000e+01	5.291579999999999728e+01	6.683541460684573110e+01
1.975370000000000061e+02	5.328999999999999737e+00	5.460000000000000142e+01	5.818170000000000641e+01	6.695842427664985053e+01
1.976399999999999864e+02	5.408000000000000362e+00	5.839999999999999858e+01	6.157060000000000599e+01	6.703433861522036352e+01
1.978640000000000043e+02	5.500000000000000000e+00	6.219999999999999574e+01	6.442779999999999063e+01	6.711008314752947967e+01
1.979600000000000080e+02	5.692999999999999616e+00	6.940000000000000568e+01	6.934820000000000562e+01	6.731448390447408769e+01
1.981810000000000116e+02	5.964999999999999858e+00	7.200000000000000000e+01	6.989670000000000982e+01	6.759212179510920748e+01
1.981819999999999879e+02	6.570999999999999730e+00	7.409999999999999432e+01	7.223599999999999000e+01	6.827037361171929319e+01
1.981359999999999957e+02	7.445000000000000284e+00	7.760000000000000853e+01	7.660469999999999402e+01	6.917857061229406668e+01
1.983940000000000055e+02	8.897999999999999687e+00	8.269999999999998863e+01	8.211379999999999768e+01	7.063118533393229370e+01
1.987580000000000098e+02	1.117900000000000027e+01	8.909999999999999432e+01	8.881369999999999720e+01	7.292920024393791323e+01
1.986399999999999864e+02	1.444999999999999929e+01	9.679999999999999716e+01	9.688979999999999393e+01	7.639229958798662778e+01
1.990260000000000105e+02	1.921900000000000119e+01	1.060000000000000000e+02	1.057749999999999915e+02	8.134737485407293889e+01
2.001690000000000111e+02	2.607100000000000151e+01	1.150999999999999943e+02	1.156390000000000100e+02	8.854460185685158535e+01
2.004300000000000068e+02	3.526400000000000290e+01	1.274000000000000199e+02	1.275360000000000156e+02	9.837534125724039313e+01
2.002299999999999898e+02	4.724199999999999733e+01	1.413000000000000114e+02	1.411399999999999864e+02	1.110845960286680736e+02
2.005579999999999927e+02	6.261899999999999977e+01	1.567000000000000171e+02	1.559850000000000136e+02	1.272128895646323485e+02
2.005550000000000068e+02	6.941899999999999693e+01	1.635000000000000000e+02	1.621419999999999959e+02	1.343552451436502793e+02
2.141550000000000011e+02	5.022000000000000242e+00	3.410000000000000142e+01	3.351590000000000202e+01	6.474638256538017345e+01
2.141740000000000066e+02	5.810999999999999943e+00	3.850000000000000000e+01	3.796600000000000108e+01	6.558376516038941872e+01
2.139089999999999918e+02	6.371999999999999886e+00	4.279999999999999716e+01	4.252469999999999573e+01	6.620869678290975457e+01
2.135629999999999882e+02	6.929000000000000270e+00	4.850000000000000000e+01	4.837839999999999918e+01	6.683796132104924936e+01
2.132390000000000043e+02	7.357000000000000206e+00	5.329999999999999716e+01	5.338480000000000558e+01	6.732765336331495121e+01
2.133420000000000130e+02	7.759999999999999787e+00	5.720000000000000284e+01	5.710640000000000072e+01	6.775684740082790825e+01
2.134950000000000045e+02	8.255000000000000782e+00	6.090000000000000568e+01	6.068760000000000332e+01	6.829243144136546562e+01
2.134360000000000070e+02	8.696999999999999176e+00	6.400000000000000000e+01	6.342490000000000805e+01	6.879447511775853741e+01
2.136049999999999898e+02	9.310000000000000497e+00	6.700000000000000000e+01	6.631779999999999120e+01	6.946022508699114439e+01
2.142740000000000009e+02	1.006900000000000084e+01	6.970000000000000284e+01	6.893720000000000425e+01	7.022859132188219178e+01
2.143859999999999957e+02	1.110599999999999987e+01	7.350000000000000000e+01	7.275149999999999295e+01	7.130595638920075885e+01
2.144749999999999943e+02	1.241900000000000048e+01	7.760000000000000853e+01	7.696690000000000964e+01	7.263276962781512225e+01
2.150190000000000055e+02	1.425699999999999967e+01	8.190000000000000568e+01	8.166850000000000875e+01	7.447965593499446868e+01
2.153669999999999902e+02	1.676500000000000057e+01	8.729999999999999716e+01	8.737890000000000157e+01	7.711095538240233793e+01
2.151519999999999868e+02	2.027299999999999969e+01	9.439999999999999147e+01	9.460800000000000409e+01	8.077735419502721470e+01
2.154579999999999984e+02	2.488800000000000168e+01	1.020999999999999943e+02	1.022600000000000051e+02	8.569175095759824501e+01
2.151910000000000025e+02	3.124899999999999878e+01	1.116000000000000085e+02	1.117019999999999982e+02	9.244269664935897879e+01
2.149139999999999873e+02	3.961599999999999966e+01	1.223000000000000114e+02	1.223680000000000092e+02	1.014695883241177796e+02
2.151740000000000066e+02	4.855100000000000193e+01	1.323000000000000114e+02	1.320759999999999934e+02	1.108502372455655802e+02
2.154159999999999968e+02	5.764900000000000091e+01	1.415000000000000000e+02	1.410639999999999930e+02	1.204346227476063120e+02
2.151670000000000016e+02	6.610200000000000387e+01	1.499000000000000057e+02	1.491319999999999766e+02	1.293107781225206168e+02
2.151459999999999866e+02	6.927100000000000080e+01	1.531000000000000227e+02	1.519939999999999998e+02	1.326320926656833024e+02
2.344430000000000121e+02	5.136000000000000121e+00	3.360000000000000142e+01	3.293769999999999953e+01	6.271653151772621726e+01
2.349170000000000016e+02	7.131999999999999673e+00	3.939999999999999858e+01	3.906260000000000332e+01	6.478976734781053892e+01
2.339459999999999980e+02	9.426999999999999602e+00	5.039999999999999858e+01	4.996350000000000335e+01	6.733431479607500592e+01
2.341769999999999925e+02	1.147199999999999953e+01	5.920000000000000284e+01	5.902720000000000056e+01	6.948544573150132919e+01
2.344890000000000043e+02	1.360200000000000031e+01	6.619999999999998863e+01	6.609409999999999741e+01	7.172415750317992433e+01
2.343679999999999950e+02	1.575099999999999945e+01	7.229999999999999716e+01	7.206260000000000332e+01	7.406759028143123658e+01
2.341560000000000059e+02	1.769300000000000139e+01	7.700000000000000000e+01	7.679080000000000439e+01	7.611214049565501227e+01
2.339960000000000093e+02	2.053500000000000014e+01	8.279999999999999716e+01	8.279160000000000252e+01	7.914653379818136614e+01
2.344540000000000077e+02	2.341100000000000136e+01	8.779999999999999716e+01	8.780330000000000723e+01	8.215767586695521629e+01
2.343230000000000075e+02	2.693199999999999861e+01	9.360000000000000853e+01	9.363790000000000191e+01	8.582909632016455248e+01
2.343870000000000005e+02	3.036400000000000077e+01	9.900000000000000000e+01	9.868420000000000414e+01	8.955858756153448041e+01
2.341579999999999870e+02	3.409000000000000341e+01	1.035999999999999943e+02	1.038790000000000049e+02	9.355196721709478425e+01
2.345889999999999986e+02	3.754699999999999704e+01	1.080000000000000000e+02	1.080249999999999915e+02	9.718229501547217808e+01
2.344830000000000041e+02	4.102000000000000313e+01	1.122999999999999972e+02	1.122330000000000041e+02	1.008438049995059060e+02
2.344230000000000018e+02	4.435199999999999676e+01	1.164000000000000057e+02	1.160510000000000019e+02	1.043499146115623546e+02
2.343000000000000114e+02	4.792999999999999972e+01	1.202999999999999972e+02	1.200049999999999955e+02	1.081274373988912743e+02
2.342760000000000105e+02	5.124300000000000210e+01	1.240000000000000000e+02	1.234759999999999991e+02	1.117657023766342377e+02
2.346759999999999877e+02	5.510199999999999676e+01	1.277999999999999972e+02	1.271400000000000006e+02	1.157682204145252172e+02
2.346359999999999957e+02	5.841599999999999682e+01	1.310999999999999943e+02	1.303849999999999909e+02	1.193439736049335949e+02
2.345660000000000025e+02	6.188600000000000279e+01	1.344000000000000057e+02	1.337029999999999745e+02	1.230783807364104803e+02
2.344910000000000139e+02	6.538400000000000034e+01	1.379000000000000057e+02	1.369619999999999891e+02	1.267180690843922406e+02
2.344919999999999902e+02	6.875900000000000034e+01	1.411999999999999886e+02	1.399910000000000139e+02	1.301949663918958322e+02
2.549850000000000136e+02	4.724999999999999645e+00	3.370000000000000284e+01	3.329080000000000439e+01	6.027441558180605341e+01
2.546680000000000064e+02	6.554000000000000270e+00	3.710000000000000142e+01	3.654829999999999757e+01	6.224110258852840616e+01
2.556119999999999948e+02	6.788999999999999702e+00	3.769999999999999574e+01	3.706299999999999528e+01	6.239344675876207447e+01
2.549939999999999998e+02	8.785999999999999588e+00	4.279999999999999716e+01	4.200280000000000058e+01	6.455314626210719098e+01
2.553029999999999973e+02	1.118500000000000050e+01	4.939999999999999858e+01	4.925840000000000174e+01	6.703418804525188079e+01
2.549230000000000018e+02	1.327100000000000080e+01	5.559999999999999432e+01	5.583030000000000115e+01	6.925078219041407124e+01
