Temperature (K)	Pressure (MPa)	Therm. Cond. (W/m*K)	Reference
111.430	0.553	0.18470	Roder
111.331	11.637	0.19720	Roder
111.483	22.691	0.20770	Roder
111.328	34.113	0.21750	Roder
111.205	44.929	0.22620	Roder
111.081	56.736	0.23530	Roder
110.962	68.644	0.24370	Roder
133.874	0.315	0.01480	Roder
134.867	0.764	0.15190	Roder
134.906	11.709	0.16700	Roder
134.752	22.962	0.18000	Roder
134.872	34.177	0.19130	Roder
134.713	45.576	0.20190	Roder
134.823	56.748	0.21140	Roder
134.643	67.926	0.22030	Roder
144.330	0.357	0.01590	Roder
144.024	0.650	0.01660	Roder
153.922	0.429	0.01700	Roder
154.234	0.731	0.01770	Roder
153.919	1.082	0.01860	Roder
154.911	1.597	0.12270	Roder
154.745	6.754	0.13270	Roder
154.976	14.577	0.14460	Roder
155.097	25.314	0.15840	Roder
155.214	35.994	0.17020	Roder
155.063	46.630	0.18130	Roder
154.875	56.924	0.19100	Roder
154.708	67.033	0.19980	Roder
164.385	0.446	0.01810	Roder
164.059	0.935	0.01900	Roder
163.617	1.657	0.02140	Roder
174.541	0.406	0.01910	Roder
174.157	1.015	0.02020	Roder
173.754	1.751	0.02200	Roder
173.252	2.461	0.02560	Roder
174.692	2.644	0.09420	Roder
174.610	4.614	0.10060	Roder
174.751	12.708	0.11800	Roder
174.995	19.722	0.12920	Roder
175.148	26.452	0.13830	Roder
175.004	33.796	0.14760	Roder
175.218	41.284	0.15590	Roder
175.099	48.146	0.16310	Roder
174.935	55.058	0.17030	Roder
174.834	61.639	0.17640	Roder
175.000	68.370	0.18230	Roder
184.665	0.752	0.02060	Roder
184.844	1.508	0.02200	Roder
184.439	2.252	0.02400	Roder
184.145	2.884	0.02700	Roder
183.857	3.450	0.03320	Roder
199.304	1.013	0.02270	Roder
198.607	1.531	0.02330	Roder
198.700	2.670	0.02590	Roder
198.365	3.520	0.02880	Roder
198.363	4.156	0.03250	Roder
198.100	4.569	0.03650	Roder
198.138	4.861	0.04050	Roder
197.697	5.049	0.04510	Roder
197.626	5.173	0.04930	Roder
197.637	5.230	0.05150	Roder
197.537	5.329	0.05460	Roder
197.640	5.408	0.05840	Roder
197.864	5.500	0.06220	Roder
197.960	5.693	0.06940	Roder
198.181	5.965	0.07200	Roder
198.182	6.571	0.07410	Roder
198.136	7.445	0.07760	Roder
198.394	8.898	0.08270	Roder
198.758	11.179	0.08910	Roder
198.640	14.450	0.09680	Roder
199.026	19.219	0.10600	Roder
200.169	26.071	0.11510	Roder
200.430	35.264	0.12740	Roder
200.230	47.242	0.14130	Roder
200.558	62.619	0.15670	Roder
200.555	69.419	0.16350	Roder
214.229	1.068	0.02430	Roder
214.546	1.747	0.02530	Roder
